sentiment_polarity,publish_date,Date,sentiment_subjectivity
0.07394055106319256,{'$date': '2017-02-23T14:04:45.000+0000'},2017-02-23,0.4631888289907157
0.02775514439898002,{'$date': '2017-01-10T00:00:00.000+0000'},2017-01-10,0.2954406096186918
0.1108137358137358,{'$date': '2017-01-09T16:28:27.000+0000'},2017-01-09,0.4137592137592138
0.1461251692179527,{'$date': '2017-01-10T00:00:00.000+0000'},2017-01-10,0.4587721099061304
0.13544536271809,{'$date': '2016-12-28T13:03:16.000+0000'},2016-12-28,0.3816517447199266
0.1198059360730593,{'$date': '2016-12-21T00:00:00.000+0000'},2016-12-21,0.4020004348771472
0.04461038961038961,{'$date': '2017-02-22T10:43:04.000+0000'},2017-02-22,0.2931060606060605
0.1661745661745662,{'$date': '2017-02-21T17:42:08.000+0000'},2017-02-21,0.3983053983053983
0.1130634071810542,{'$date': '2017-03-13T13:04:07.000+0000'},2017-03-13,0.5554214413037941
0.1384760301426968,{'$date': '2017-01-30T00:00:00.000+0000'},2017-01-30,0.4551177217843884
0.13531146179402,{'$date': '2017-01-30T14:47:48.000+0000'},2017-01-30,0.4014010989010989
0.1111424807076981,{'$date': '2017-01-30T00:00:00.000+0000'},2017-01-30,0.3753018720410025
0.156095145988763,{'$date': '2016-12-22T15:24:26.000+0000'},2016-12-22,0.4358777747075618
-0.05483870967741938,{'$date': '2016-12-23T09:15:01.000+0000'},2016-12-23,0.4333333333333335
0.005637958532695373,{'$date': '2017-02-17T09:28:08.000+0000'},2017-02-17,0.3029744816586922
0.0001067493112947621,{'$date': '2017-02-15T00:00:00.000+0000'},2017-02-15,0.2996866391184573
0.1168929267613478,{'$date': '2017-02-15T15:48:31.000+0000'},2017-02-15,0.4508273889852837
0.02074074074074074,{'$date': '2017-03-08T00:00:00.000+0000'},2017-03-08,0.3416049382716049
0.04798190235690236,{'$date': '2017-03-09T00:00:00.000+0000'},2017-03-09,0.2970307239057239
