publish_date,sentiment_subjectivity,sentiment_polarity,Date
{'$date': '2017-03-24T00:00:00.000+0000'},0.4404220779220779,0.1291115134865135,2017-03-24
{'$date': '2017-03-07T00:00:00.000+0000'},0.603346112456282,0.1270446596717783,2017-03-07
{'$date': '2017-03-26T00:00:00.000+0000'},0.4545454545454545,0.1363636363636364,2017-03-26
{'$date': '2017-03-23T00:00:00.000+0000'},0.4451754385964913,0.04137426900584795,2017-03-23
{'$date': '2017-03-24T18:58:35.000+0000'},0.4186700336700336,0.2120454545454545,2017-03-24
{'$date': '2017-03-23T00:00:00.000+0000'},0.4391504329004329,0.1571366133866134,2017-03-23
{'$date': '2017-03-29T00:00:00.000+0000'},0.4789983164983165,0.1456439393939394,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0,0,2017-03-29
{'$date': '2017-03-28T00:00:00.000+0000'},0.3522830344258915,0.1215869007535674,2017-03-28
{'$date': '2017-03-28T16:30:00.000+0000'},0.4011904761904762,0.2507936507936508,2017-03-28
{'$date': '2017-03-27T00:00:00.000+0000'},0.447348484848485,0.1973063973063973,2017-03-27
{'$date': '2017-03-16T00:00:00.000+0000'},0.3352310046275563,0.09837195850126887,2017-03-16
{'$date': '2017-03-21T00:00:00.000+0000'},0.4381116358389086,0.1501311819493637,2017-03-21
{'$date': '2017-03-28T00:00:00.000+0000'},0.470954045954046,0.1588411588411588,2017-03-28
{'$date': '2017-03-27T00:00:00.000+0000'},0.5124547360396416,0.210722793977511,2017-03-27
{'$date': '2017-03-28T00:00:00.000+0000'},0.5329658189033191,0.2177468885281386,2017-03-28
{'$date': '2017-03-28T00:00:00.000+0000'},0.372005772005772,0.08836760461760461,2017-03-28
{'$date': '2017-03-21T00:00:00.000+0000'},0.4876285173160173,0.1554924242424242,2017-03-21
{'$date': '2017-03-28T12:24:55.000+0000'},0.4927238656405323,0.05586720378387043,2017-03-28
{'$date': '2017-03-29T20:58:18.000+0000'},0.5638137325637326,0.2413961038961039,2017-03-29
{'$date': '2017-03-29T14:17:20.000+0000'},0.4848155467720684,0.2629446640316205,2017-03-29
{'$date': '2017-03-22T00:00:00.000+0000'},0.459104938271605,0.1458333333333333,2017-03-22
{'$date': '2017-03-29T08:55:00.000+0000'},0.4787295101901842,0.2001744977868573,2017-03-29
{'$date': '2017-03-25T00:00:00.000+0000'},0.451738647637085,0.05078480113636364,2017-03-25
{'$date': '2017-03-28T00:00:00.000+0000'},0.5238425925925926,-0.06874999999999998,2017-03-28
