publish_date,sentiment_subjectivity,sentiment_polarity,Date,Open,High,Low,Close,Volume
{'$date': '2017-02-24T00:00:00.000+0000'},0.4074397824397825,0.04082167832167833,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2017-02-24T15:15:00.000+0000'},0.5488564419119972,0.1492086103197214,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2017-02-24T16:55:10.000+0000'},0.4826923076923076,0.2967948717948717,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2017-02-24T17:25:00.000+0000'},0.4690193264785099,0.1302912580616663,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2017-02-24T06:02:49.000+0000'},0.3286173767752714,0.05058061821219716,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2017-02-24T08:11:00.000+0000'},0.4240387748452263,0.1557664781455103,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2017-02-24T14:15:00.000+0000'},0.5413214990138067,0.1319033530571992,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2017-02-24T15:55:10.000+0000'},0.5341666666666667,0.3208333333333333,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2016-11-01T00:00:00.000+0000'},0.5593223905723906,0.2238888888888889,2016-11-01,782.89,789.49,775.54,783.61,2406356.0
{'$date': '2016-10-18T14:51:02.000+0000'},0.5227777777777778,0.2793703703703703,2016-10-18,787.85,801.61,785.56,795.26,2056903.0
{'$date': '2016-10-18T16:21:00.000+0000'},0.521645594264642,0.25085434847339605,2016-10-18,787.85,801.61,785.56,795.26,2056903.0
{'$date': '2016-10-18T16:21:00.000+0000'},0.521645594264642,0.25085434847339605,2016-10-18,787.85,801.61,785.56,795.26,2056903.0
{'$date': '2016-10-18T00:00:00.000+0000'},0.5048207185840163,0.1905610627552118,2016-10-18,787.85,801.61,785.56,795.26,2056903.0
{'$date': '2016-10-18T00:00:00.000+0000'},0.5048207185840163,0.1905610627552118,2016-10-18,787.85,801.61,785.56,795.26,2056903.0
{'$date': '2016-05-18T00:00:00.000+0000'},0.5563852813852813,0.2339053803339518,2016-05-18,703.67,711.6,700.63,706.63,1763394.0
{'$date': '2017-01-04T00:00:00.000+0000'},0.4109234398560241,0.05244904907826256,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T00:00:00.000+0000'},0.4437931443556442,0.0782417894605395,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T00:00:00.000+0000'},0.4437931443556442,0.0782417894605395,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
